Number of ticks for a small gelatinous cube to dissolve the block (pepsin, acid).

Block Dissolve Time
-------------------
Block[1] 石头: never, never
Block[2] 草方块: never, never
Block[3] Dirt: never, never
Block[4] 圆石: never, never
Block[5][0] 橡木木板: never, never
Block[5][1] 云杉木板: never, never
Block[5][2] 桦木木板: never, never
Block[5][3] 丛林木板: never, never
Block[6][0] 橡树树苗: never, instant
Block[6][1] 云杉树苗: never, instant
Block[6][2] 桦木树苗: never, instant
Block[6][3] 丛林树苗: never, instant
Block[7] 基岩: never, never
Block[8] 水 (moving): never, never
Block[9] 水 (still): never, never
Block[10] 岩浆 (moving): never, never
Block[11] 岩浆 (still): never, never
Block[12] Sand: never, never
Block[13][0] 沙砾: never, never
Block[13][2] Nether Gravel: never, never
Block[14][0] 金矿石: never, never
Block[14][2] 金矿石: never, never
Block[15] 铁矿石: never, never
Block[16] 煤矿石: never, never
Block[17][0] 橡木 (log): never, never
Block[17][1] 云杉木 (log): never, never
Block[17][2] 白桦木 (log): never, never
Block[17][3] 丛林木 (log): never, never
Block[18][0] 橡树树叶: never, instant
Block[18][1] 云杉树叶: never, instant
Block[18][2] 白桦树叶: never, instant
Block[18][3] 丛林树叶: never, instant
Block[19] 海绵: never, never
Block[20] 玻璃: never, never
Block[21] 青金石矿石: never, never
Block[22] 青金石块: never, never
Block[23] 发射器: never, never
Block[24][0] 沙石: never, never
Block[24][1] 錾制沙石: never, never
Block[24][2] 平滑沙石: never, never
Block[24][3] Sacred Sandstone: never, never
Block[25] 音符盒: never, never
Block[26] 床: 400, 400
Block[27] 动力铁轨: never, 400
Block[28] 探测铁轨: never, 400
Block[29] 粘性活塞: never, 400
Block[30] 蜘蛛网: instant, instant
Block[31][1] 草 (tall): never, instant
Block[31][2] 蕨 (tall): never, instant
Block[32][0] 枯死的灌木: never, instant
Block[32][1] Witherwood Bush: never, instant
Block[33] 活塞: never, 400
Block[34] Piston (extension): never, 400
Block[35][0] 羊毛: 400, instant
Block[35][1] 橙色羊毛: 400, instant
Block[35][2] 品红色羊毛: 400, instant
Block[35][3] 淡蓝色羊毛: 400, instant
Block[35][4] 黄色羊毛: 400, instant
Block[35][5] 黄绿色羊毛: 400, instant
Block[35][6] 粉红色羊毛: 400, instant
Block[35][7] 灰色羊毛: 400, instant
Block[35][8] 淡灰色羊毛: 400, instant
Block[35][9] 青色羊毛: 400, instant
Block[35][10] 紫色羊毛: 400, instant
Block[35][11] 蓝色羊毛: 400, instant
Block[35][12] 棕色羊毛: 400, instant
Block[35][13] 绿色羊毛: 400, instant
Block[35][14] 红色羊毛: 400, instant
Block[35][15] 黑色羊毛: 400, instant
Block[36] Piston (moving): never, never
Block[37] Dandelion: never, instant
Block[38][0] Rose: never, instant
Block[38][1] Orchid: never, instant
Block[38][2] Allium: never, instant
Block[38][5] Tulip: never, instant
Block[38][7] Dahlia: never, instant
Block[38][8] Daisy: never, instant
Block[39] 蘑菇 (brown, small): never, instant
Block[40] 蘑菇 (red, small): never, instant
Block[41] 金块: never, never
Block[42] 铁块: never, 400
Block[43][0] Stone Slab (double): never, never
Block[43][1] Sandstone Slab (double): never, never
Block[43][3] Cobblestone Slab (double): never, never
Block[43][4] Bricks Slab (double): never, never
Block[43][5] Stone Bricks Slab (double): never, never
Block[43][6] Nether Brick Slab (double): never, never
Block[43][7] Quartz Slab (double): never, never
Block[44][0] Stone Slab (single): never, never
Block[44][1] Sandstone Slab (single): never, never
Block[44][3] Cobblestone Slab (single): never, never
Block[44][4] Bricks Slab (single): never, never
Block[44][5] Stone Bricks Slab (single): never, never
Block[44][6] Nether Brick Slab (single): never, never
Block[44][7] Quartz Slab (single): never, never
Block[45] 砖块: never, never
Block[46] TNT: never, never
Block[47] 书架: never, never
Block[48] 苔石: never, never
Block[49] 黑曜石: never, never
Block[50] 火把: never, instant
Block[51] 火: never, never
Block[52] 刷怪箱: never, never
Block[53] 橡木楼梯: never, never
Block[54] 箱子: never, 400
Block[55] 红石粉: never, never
Block[56] 钻石矿石: never, never
Block[57] 钻石块: never, never
Block[58][0] Flint Tool Bench: never, never
Block[58][1] Flint Tool Bench: never, never
Block[58][2] Flint Tool Bench: never, never
